mmsi,inferred,known
1,Trawlers,
2,Trawlers,
3,Tug,
4,Drifting longlines,
5,Trawlers,
6,Cargo,
7,Pilot,
8,Tug,
9,Trawlers,
10,Reefer,
11,Cargo,
12,Tanker,
13,Reefer,
15,Tug,
16,Tug,
17,Cargo,
18,Squid,
19,Cargo,
20,Reefer,
21,Cargo,
32,Cargo,
33,Reefer,
34,Reefer,
35,Reefer,
41,Set longlines,
42,Tug,
44,Tanker,
45,Reefer,
46,Set gillnets,
48,Tanker,
50,Cargo,
53,Sailing,
54,Tug,
56,Purse seines,
60,Tug,
70,Pilot,
71,Pilot,
72,Pilot,
76,Pilot,
78,Pilot,
82,Trawlers,
83,Cargo,
84,Sailing,
85,Trawlers,
87,Sailing,
88,Cargo,
90,Tug,
91,Set longlines,
94,Trawlers,
97,Sailing,
98,Sailing,
99,Pilot,
101,Reefer,
104,Tug,
105,Set longlines,
108,Tanker,
111,Squid,
112,Reefer,
114,Tug,
123,Set longlines,
127,Tanker,
133,Tanker,
136,Cargo,
157,Sailing,
160,Reefer,
168,Purse seines,
200,Tanker,
201,Tanker,
211,Purse seines,
225,Sailing,
229,Sailing,
237,Tug,
238,Sailing,
249,Sailing,
252,Sailing,
265,Sailing,
266,Seismic vessel,
268,Purse seines,
269,Reefer,
305,Sailing,
321,Pilot,
333,Trawlers,
338,Sailing,
345,Purse seines,
371,Tug,
372,Tug,
378,Trawlers,
401,Sailing,
403,Tug,
404,Pilot,
412,Trawlers,
413,Cargo,
416,Set longlines,
442,Sailing,
449,Tug,
456,Trawlers,
470,Sailing,
489,Tug,
514,Trawlers,
525,Seismic vessel,
531,Trawlers,
548,Sailing,
555,Seismic vessel,
585,Trawlers,
605,Sailing,
660,Trawlers,
679,Trawlers,
680,Pilot,
760,Purse seines,
789,Trawlers,
856,Set longlines,
888,Set longlines,
1024,Trawlers,
1030,Tug,
1070,Tug,
1084,Pole and line,
1088,Pots and traps,
1110,Sailing,
1111,Set longlines,
1129,Trawlers,
1130,Trawlers,
1172,Sailing,
1222,Reefer,
1234,Sailing,
1253,Sailing,
1266,Sailing,
1311,Pole and line,
1313,Pole and line,
1510,Trawlers,
1691,Pilot,
1712,Sailing,
1720,Purse seines,
1811,Sailing,
1942,Tug,
1957,Trawlers,
2078,Pilot,
2081,Sailing,
2083,Purse seines,
2102,Trawlers,
2153,Sailing,
2222,Trawlers,
2225,Tug,
2331,Reefer,
2332,Tug,
2349,Sailing,
2409,Tug,
2410,Cargo,
2411,Cargo,
2419,Sailing,
2436,Tanker,
2472,Tug,
2500,Tug,
2685,Trawlers,
2686,Trawlers,
2695,Trawlers,
2829,Tanker,
2876,Set longlines,
2902,Tug,
2924,Purse seines,
2940,Cargo,
2959,Set gillnets,
3075,Purse seines,
3077,Tug,
3099,Tug,
3203,Tug,
3323,Sailing,
3338,Tug,
3340,Cargo,
3390,Tug,
3460,Cargo,
3493,Tug,
3494,Set gillnets,
3495,Tug,
3496,Tug,
3586,Tug,
3604,Reefer,
3627,Cargo,
