mmsi,inferred,known
1,Set gillnets,
2,Cargo,
3,Cargo,
4,Purse seines,
5,Set gillnets,
6,Cargo,
7,Cargo,
8,Set gillnets,
9,Pots and traps,
10,Set gillnets,
11,Cargo,
12,Reefer,
13,Tug,
14,Reefer,
15,Tug,
16,Set gillnets,
17,Sailing,
19,Set gillnets,
20,Reefer,
22,Sailing,
23,Reefer,
24,Reefer,
25,Cargo,
26,Cargo,
27,Set longlines,
31,Sailing,
32,Pilot,
33,Pilot,
35,Pilot,
36,Reefer,
37,Reefer,
38,Reefer,
39,Reefer,
41,Pots and traps,
44,Tanker,
46,Trawlers,
48,Reefer,
49,Trawlers,
53,Sailing,
54,Tug,
55,Reefer,
56,Sailing,
57,Reefer,
58,Reefer,
59,Sailing,
60,Tug,
61,Reefer,
62,Sailing,
67,Sailing,
69,Tanker,
70,Tanker,
71,Reefer,
72,Cargo,
73,Cargo,
76,Tanker,
77,Cargo,
78,Tanker,
79,Sailing,
82,Reefer,
83,Cargo,
84,Reefer,
85,Tanker,
87,Sailing,
90,Set gillnets,
91,Set longlines,
94,Sailing,
95,Sailing,
97,Sailing,
98,Trawlers,
99,Sailing,
104,Pilot,
108,Reefer,
111,Set longlines,
112,Tanker,
114,Tug,
123,Trawlers,
126,Set longlines,
127,Set longlines,
131,Set longlines,
135,Sailing,
153,Cargo,
157,Purse seines,
160,Cargo,
166,Cargo,
168,Tanker,
200,Cargo,
201,Tanker,
205,Pole and line,
225,Sailing,
229,Purse seines,
238,Purse seines,
245,Cargo,
246,Sailing,
249,Pole and line,
252,Tug,
265,Purse seines,
268,Purse seines,
269,Tanker,
321,Set longlines,
333,Trawlers,
345,Purse seines,
371,Seismic vessel,
372,Tug,
378,Pots and traps,
403,Tug,
404,Purse seines,
412,Seismic vessel,
419,Squid,
449,Trawlers,
456,Seismic vessel,
470,Sailing,
489,Tug,
502,Trawlers,
503,Sailing,
514,Trawlers,
525,Trawlers,
531,Trawlers,
548,Reefer,
585,Trawlers,
660,Set longlines,
680,Pilot,
721,Purse seines,
758,Cargo,
789,Trawlers,
888,Set longlines,
1000,Cargo,
1024,Trawlers,
1030,Tug,
1040,Set longlines,
1070,Seismic vessel,
1084,Pole and line,
1088,Trawlers,
1110,Purse seines,
1111,Cargo,
1130,Trawlers,
1172,Purse seines,
1234,Pilot,
1253,Tug,
1266,Purse seines,
1458,Purse seines,
1540,Trawlers,
1547,Set longlines,
1712,Purse seines,
1720,Purse seines,
1811,Pole and line,
1942,Cargo,
1957,Trawlers,
2078,Pots and traps,
2081,Trawlers,
2083,Sailing,
2153,Purse seines,
2174,Sailing,
2196,Squid,
2222,Set longlines,
2281,Reefer,
2331,Tug,
2332,Tug,
2349,Trawlers,
2409,Cargo,
2410,Cargo,
2411,Cargo,
2419,Purse seines,
2436,Cargo,
2472,Cargo,
2508,Pilot,
2718,Pilot,
2829,Tanker,
2866,Pole and line,
2902,Trawlers,
2940,Cargo,
3015,Trawlers,
3075,Purse seines,
3099,Tug,
3203,Set gillnets,
3323,Sailing,
3338,Purse seines,
3340,Cargo,
3353,Trawlers,
3402,Set gillnets,
3493,Tug,
3494,Set gillnets,
3496,Cargo,
3604,Cargo,
3627,Cargo,
3813,Pole and line,
3868,Trawlers,
3887,Tug,
4022,Pilot,
4024,Purse seines,
4124,Set longlines,
4242,Trawlers,
4268,Sailing,
4270,Sailing,
4330,Pole and line,
4372,Tug,
4413,Set longlines,
