mmsi,inferred,known
1,Set gillnets,
2,Pots and traps,
3,Trawlers,
4,Drifting longlines,
5,Pots and traps,
6,Trawlers,
7,Trawlers,
8,Trawlers,
9,Pots and traps,
10,Set gillnets,
11,Cargo,
12,Tanker,
13,Reefer,
14,Cargo,
15,Cargo,
16,Cargo,
20,Sailing,
21,Sailing,
22,Tanker,
23,Cargo,
24,Tug,
25,Cargo,
26,Cargo,
28,Reefer,
31,Cargo,
32,Cargo,
33,Reefer,
35,Reefer,
41,Set longlines,
44,Tanker,
48,Cargo,
54,Cargo,
56,Trawlers,
57,Cargo,
58,Tug,
59,Tug,
60,Pots and traps,
61,Purse seines,
62,Purse seines,
63,Tug,
64,Cargo,
66,Trawlers,
67,Sailing,
68,Trawlers,
69,Purse seines,
70,Tanker,
71,Sailing,
72,Tanker,
73,Sailing,
76,Tanker,
77,Reefer,
78,Tanker,
82,Tanker,
83,Cargo,
84,Reefer,
85,Tanker,
91,Set gillnets,
94,Trawlers,
97,Sailing,
98,Cargo,
99,Reefer,
108,Pilot,
111,Set longlines,
112,Tanker,
114,Purse seines,
118,Purse seines,
119,Trawlers,
123,Set longlines,
134,Tanker,
135,Pilot,
168,Purse seines,
200,Cargo,
201,Reefer,
205,Pole and line,
222,Trawlers,
246,Sailing,
252,Tanker,
268,Purse seines,
314,Sailing,
321,Reefer,
333,Seismic vessel,
372,Tanker,
378,Pole and line,
388,Trawlers,
401,Trawlers,
403,Tug,
404,Purse seines,
409,Sailing,
412,Set longlines,
413,Trawlers,
456,Reefer,
470,Sailing,
489,Trawlers,
501,Trawlers,
502,Trawlers,
503,Purse seines,
504,Sailing,
528,Squid,
531,Trawlers,
581,Sailing,
605,Pilot,
660,Pilot,
662,Sailing,
663,Pilot,
664,Trawlers,
721,Pole and line,
725,Cargo,
789,Trawlers,
851,Purse seines,
888,Trawlers,
1000,Set gillnets,
1024,Trawlers,
1030,Set gillnets,
1040,Trawlers,
1110,Purse seines,
1111,Cargo,
1234,Cargo,
1523,Trawlers,
1547,Set longlines,
1567,Trawlers,
1578,Pilot,
1942,Cargo,
2057,Trawlers,
2060,Trawlers,
2078,Pots and traps,
2174,Sailing,
2186,Tanker,
2259,Sailing,
2266,Tanker,
2281,Sailing,
2409,Reefer,
2410,Reefer,
2411,Tanker,
2508,Pilot,
2525,Trawlers,
2829,Cargo,
2866,Trawlers,
2902,Cargo,
2940,Cargo,
3075,Pilot,
3099,Tug,
3203,Reefer,
3247,Sailing,
3338,Purse seines,
3340,Cargo,
3496,Cargo,
3513,Set longlines,
3604,Cargo,
3813,Set longlines,
3887,Cargo,
4035,Cargo,
4043,Set longlines,
4242,Trawlers,
4268,Sailing,
4270,Sailing,
4330,Pole and line,
4413,Purse seines,
4438,Set longlines,
4578,Seismic vessel,
4747,Pole and line,
4859,Trawlers,
4910,Set longlines,
4922,Purse seines,
5033,Sailing,
5034,Pilot,
5110,Set gillnets,
5258,Trawlers,
5262,Cargo,
5322,Set longlines,
5625,Set longlines,
5678,Trawlers,
5853,Tanker,
6069,Trawlers,
6149,Purse seines,
6275,Tug,
6387,Purse seines,
6508,Pilot,
6626,Pilot,
6630,Set gillnets,
6787,Squid,
6827,Pilot,
6916,Squid,
6929,Squid,
6930,Squid,
6932,Pilot,
7037,Pilot,
7088,Seismic vessel,
7563,Cargo,
7585,Purse seines,
7788,Trawlers,
8086,Sailing,
8100,Pilot,
8141,Purse seines,
8158,Reefer,
8396,Sailing,Pilot
8590,Sailing,
8649,Set gillnets,
9168,Tanker,
9673,Sailing,
9985,Trawlers,
9999,Sailing,
11111,Set longlines,
11118,Set longlines,
12048,Pilot,
12063,Pilot,
12069,Pilot,
13017,Set gillnets,
13236,Pilot,
13341,Pilot,
13588,Set longlines,
14100,Trawlers,
14114,Set gillnets,
14928,Sailing,
15227,Cargo,
15343,Reefer,
16045,Trawlers,
16050,Trawlers,
16053,Trawlers,
16141,Purse seines,
16560,Pole and line,
16587,Trawlers,
16589,Trawlers,
16790,Tug,
18808,Trawlers,
18817,Sailing,
18922,Pole and line,
20094,Trawlers,
20467,Tanker,
20788,Sailing,
21001,Sailing,
21168,Set longlines,
21441,Purse seines,
21801,Pole and line,
22146,Squid,
22275,Set longlines,
23456,Trawlers,
29387,Cargo,
30308,Sailing,
31151,Trawlers,
31443,Purse seines,
31705,Sailing,
32768,Tug,
36413,Squid,
36415,Squid,
36422,Squid,
36443,Pole and line,
36452,Squid,
36483,Squid,
36549,Squid,
36581,Squid,
36582,Squid,
36602,Squid,
36603,Squid,
36604,Sailing,
36605,Squid,
36610,Sailing,
36611,Squid,
36627,Squid,
36628,Squid,
36641,Sailing,
36650,Sailing,
36663,Squid,
36665,Drifting longlines,
36675,Sailing,
36676,Sailing,
36677,Squid,
36678,Squid,
36679,Sailing,
36680,Squid,
41015,Sailing,
41206,Cargo,
41365,Sailing,
41407,Cargo,
45820,Trawlers,
49960,Cargo,
50225,Trawlers,
54765,Cargo,
55989,Pole and line,
56790,Sailing,
60208,Set longlines,
60882,Set gillnets,
61238,Set longlines,
62000,Sailing,
63352,Cargo,
64953,Pots and traps,
68588,Trawlers,
69491,Pole and line,
69649,Cargo,
69663,Drifting longlines,
70711,Pole and line,
81874,Sailing,
84968,Pole and line,
88888,Reefer,
91601,Pole and line,
91602,Set longlines,
93377,Squid,
93509,Cargo,
94999,Drifting longlines,
99999,Set longlines,
100000,Sailing,
104938,Cargo,
120200,Reefer,
123456,Cargo,
123458,Set longlines,
123460,Reefer,
123466,Tug,
123467,Trawlers,
123468,Cargo,
123481,Reefer,
123484,Cargo,
123488,Cargo,
123490,Sailing,
123514,Pilot,
123518,Pilot,
123521,Purse seines,
123525,Pilot,
123536,Set longlines,
123540,Tug,
123549,Cargo,
123562,Pilot,
123583,Cargo,
123593,Pilot,
123600,Purse seines,
123616,Pilot,
123621,Pilot,
133310,Cargo,
133907,Set longlines,
143481,Tug,
149414,Tanker,
175874,Cargo,
195566,Trawlers,
201502,Set longlines,
201505,Set longlines,
201512,Set longlines,
201851,Drifting longlines,
210231,Set longlines,
221100,Reefer,
222222,Trawlers,
230001,Cargo,
241701,Pole and line,
249762,Pots and traps,
251358,Cargo,
259807,Tanker,
268166,Cargo,
268168,Pots and traps,
270995,Pilot,
307509,Set gillnets,
342728,Trawlers,
375038,Sailing,
392189,Sailing,
392341,Tanker,
410000,Reefer,
410690,Set gillnets,
412015,Sailing,
412320,Trawlers,
416000,Set gillnets,
486685,Pots and traps,
507027,Pole and line,
513612,Set gillnets,
520000,Set gillnets,
520167,Purse seines,
525000,Reefer,
527918,Trawlers,
568859,Seismic vessel,
613914,Purse seines,
626001,Sailing,
641114,Pilot,
654321,Trawlers,
666666,Pole and line,
711333,Trawlers,
711392,Trawlers,
753767,Set gillnets,
759376,Trawlers,
773000,Purse seines,
805101,Pole and line,
845629,Trawlers,
852140,Set longlines,
888888,Trawlers,
900419,Squid,
905000,Tanker,
971957,Pots and traps,
976000,Reefer,
990001,Set longlines,
990002,Set longlines,
990021,Set longlines,
990022,Set longlines,
990641,Set longlines,
991651,Set longlines,
992361,Pole and line,
992364,Pilot,
992561,Set gillnets,
999933,Pilot,
1004477,Set longlines,
1004919,Set longlines,
1005584,Set longlines,
1042432,Squid,
1048576,Tug,
1114114,Pots and traps,
1118098,Set longlines,
1193046,Set gillnets,
1193047,Tanker,
1200636,Trawlers,
1234567,Drifting longlines,
1257998,Sailing,
1440934,Trawlers,
1605312,Tanker,
1774838,Cargo,
1822875,Tanker,
1879467,Pilot,
2000000,Sailing,
2001269,Set longlines,
2004313,Set longlines,
2004477,Set longlines,
2005584,Set longlines,
2070910,Cargo,
2111333,Set longlines,
2130300,Pots and traps,
2130400,Pots and traps,
2132200,Trawlers,
2190062,Seismic vessel,
2200201,Set longlines,
2212724,Cargo,
2241075,Cargo,
2241076,Tug,
2241077,Tug,
2241081,Tug,
2241082,Tug,
2241083,Reefer,
2241084,Tug,
2241085,Tug,
2241123,Trawlers,
2241136,Trawlers,
2241138,Trawlers,
2241143,Trawlers,
2241144,Trawlers,
2241145,Trawlers,
2241146,Trawlers,
2241147,Trawlers,
2241148,Trawlers,
2241149,Trawlers,
2241151,Trawlers,
2241152,Trawlers,
2242112,Pole and line,
2242125,Trawlers,
2242126,Tug,
2242128,Trawlers,
2242132,Pole and line,
2242150,Trawlers,
2242155,Tug,
2242156,Trawlers,
2242175,Trawlers,
2242177,Trawlers,
2242178,Cargo,
2249955,Cargo,
2278000,Drifting longlines,
2300079,Trawlers,
2300080,Trawlers,
2300087,Cargo,
2312000,Trawlers,
2313000,Pole and line,
2314000,Pots and traps,
2316588,Tanker,
2320061,Pole and line,
2320206,Tanker,
2320208,Tanker,
2320209,Tanker,
2320210,Tanker,
2320761,Pots and traps,
2320786,Tug,
2320798,Trawlers,
2320799,Sailing,
2320816,Seismic vessel,
2339001,Sailing,
2339002,Sailing,
2400236,Pilot,
2424103,Pots and traps,
2424108,Trawlers,
2424122,Sailing,
2424130,Trawlers,
2424131,Purse seines,
2424140,Cargo,
2424834,Pots and traps,
2447004,Tug,
2470010,Purse seines,
2470072,Reefer,
2470087,Seismic vessel,
2470093,Sailing,
2500370,Tug,
2512001,Trawlers,
2512002,Trawlers,
2512003,Trawlers,
2515000,Reefer,
2515003,Trawlers,
2515004,Trawlers,
2515005,Purse seines,
2515007,Trawlers,
2515009,Tug,
2515010,Purse seines,
2515011,Cargo,
2515012,Trawlers,
2515013,Trawlers,
2515016,Trawlers,
2515017,Trawlers,
2515020,Reefer,
2515021,Tug,
2515022,Trawlers,
2515026,Trawlers,
2515028,Purse seines,
2515029,Purse seines,
2515030,Purse seines,
2515031,Purse seines,
2515032,Tug,
2515033,Purse seines,
2515034,Cargo,
2515035,Tug,
2515036,Purse seines,
2515041,Tug,
2515042,Cargo,
2573221,Trawlers,
2573229,Trawlers,
2573403,Trawlers,
2573555,Purse seines,
2573585,Purse seines,
2573595,Tug,
2573905,Trawlers,
2576009,Seismic vessel,
2576100,Trawlers,
2579999,Set gillnets,
2633020,Trawlers,
2633070,Sailing,
2701296,Pilot,
2731130,Trawlers,
2731778,Tanker,
2734416,Trawlers,
2734421,Tug,
2734484,Trawlers,
2734497,Reefer,
3001269,Set longlines,
3004477,Set longlines,
3005584,Set longlines,
3100001,Sailing,
3110486,Tanker,
3118098,Set longlines,
3160000,Trawlers,
3160009,Trawlers,
3160089,Seismic vessel,
3160091,Trawlers,
3160096,Tug,
3160097,Trawlers,
3160098,Seismic vessel,
3160099,Seismic vessel,
3160100,Trawlers,
3160102,Seismic vessel,
3160103,Trawlers,
3160105,Seismic vessel,
3160106,Seismic vessel,
3160107,Seismic vessel,
3160108,Sailing,
3160109,Seismic vessel,
3160110,Trawlers,
3160111,Sailing,
3160112,Pots and traps,
3160113,Seismic vessel,
3160114,Seismic vessel,
3160119,Trawlers,
3160122,Trawlers,
3160125,Trawlers,
3160126,Trawlers,
3160134,Trawlers,
3160136,Tug,
3160142,Trawlers,
3160148,Tug,
3160149,Trawlers,
3160155,Tug,
3160158,Tug,
3160171,Pole and line,
3160184,Pole and line,
3195700,Purse seines,
3305876,Sailing,
3475010,Sailing,
3570970,Purse seines,
3571171,Tug,
3571480,Tug,
3660465,Trawlers,
3660501,Tanker,
3660514,Pole and line,
3660556,Pole and line,
3660608,Trawlers,
3660613,Tug,
3660618,Tug,
3660629,Tug,
3660636,Tug,
3660637,Trawlers,
3660645,Trawlers,
3660647,Trawlers,
3660651,Trawlers,
3660653,Trawlers,
3660654,Trawlers,
3660667,Trawlers,
3660674,Trawlers,
3660675,Trawlers,
3660676,Trawlers,
3660684,Trawlers,
3660691,Trawlers,
3660693,Trawlers,
3660697,Trawlers,
3660698,Trawlers,
3660700,Seismic vessel,
3660753,Trawlers,
3660846,Trawlers,
3660857,Trawlers,
3660858,Trawlers,
3660860,Trawlers,
3660863,Trawlers,
3660865,Trawlers,
3665001,Pots and traps,
3665002,Tug,
3669102,Tug,
3669135,Sailing,
3669137,Sailing,
3669138,Tug,
3669139,Tug,
3669140,Sailing,
3669141,Tug,
3669142,Reefer,
3669143,Seismic vessel,
3669144,Reefer,
3669145,Reefer,
3669146,Reefer,
3669147,Tug,
3669148,Purse seines,
3669149,Tug,
3669155,Trawlers,
3669156,Trawlers,
3669183,Seismic vessel,
3669184,Trawlers,
3669187,Seismic vessel,
3669188,Trawlers,
3669189,Sailing,
3669190,Tug,
3669708,Trawlers,
3669709,Trawlers,
3669710,Trawlers,
3669731,Trawlers,
3669743,Tug,
3669753,Purse seines,
3669769,Tug,
3669772,Tug,
3669773,Tug,
3669780,Trawlers,
3669781,Tug,
3669782,Tug,
3669783,Trawlers,
3669788,Trawlers,
3669789,Trawlers,
3669792,Trawlers,
3669799,Trawlers,
3669955,Trawlers,
3669969,Trawlers,
3669970,Trawlers,
3669981,Trawlers,
3669987,Trawlers,
3689001,Sailing,
3699102,Trawlers,
3812966,Trawlers,
3949312,Set gillnets,
4001269,Set longlines,
4010980,Squid,
4012410,Cargo,
4018950,Pilot,
4101231,Trawlers,
4126383,Set longlines,
4133896,Sailing,
4137792,Trawlers,
4190001,Trawlers,
4190002,Trawlers,
4190003,Tanker,
4190004,Tanker,
4190005,Tanker,
4190006,Tanker,
4190007,Tanker,
4190009,Tanker,
4190010,Reefer,
4190012,Tanker,
4190014,Tug,
4190015,Tanker,
4190016,Tug,
4190019,Tanker,
4190020,Trawlers,
4190021,Tanker,
4190022,Tanker,
4190023,Tanker,
4190024,Trawlers,
4190025,Trawlers,
4190026,Trawlers,
4190027,Tanker,
4190029,Trawlers,
4190030,Tug,
4190031,Tanker,
4190032,Trawlers,
4190033,Set gillnets,
4190034,Sailing,
4190035,Tanker,
4190036,Tanker,
4190037,Sailing,
4190038,Trawlers,
4190040,Sailing,
4190041,Tanker,
4190042,Tanker,
4190043,Tanker,
