mmsi,inferred,known
1,Purse seines,
2,Tanker,
3,Sailing,
4,Reefer,
5,Sailing,
7,Reefer,
8,Reefer,
9,Reefer,
10,Tug,
11,Cargo,
12,Sailing,
15,Tanker,
16,Tug,
19,Set longlines,
20,Trawlers,
50,Purse seines,
56,Set longlines,
82,Pole and line,
83,Cargo,
85,Tug,
88,Trawlers,
97,Tug,
99,Tanker,
100,Trawlers,
104,Pilot,
111,Reefer,
114,Set gillnets,
123,Purse seines,
134,Trawlers,
158,Trawlers,
161,Sailing,
168,Purse seines,
200,Sailing,
201,Sailing,
237,Trawlers,
252,Tug,
262,Cargo,
266,Set longlines,
268,Purse seines,
366,Trawlers,
371,Tug,
378,Sailing,
412,Set longlines,
413,Tanker,
449,Tug,
489,Tug,
666,Tug,
888,Trawlers,
1000,Reefer,
1030,Set longlines,
1088,Trawlers,
1111,Purse seines,
1191,Tug,
1201,Sailing,
1510,Pots and traps,
1539,Sailing,
1942,Tug,
2136,Tug,
2225,Tug,
2331,Tug,
2332,Tug,
2409,Tug,
2410,Tug,
2411,Tug,
2436,Cargo,
2472,Tug,
2500,Tug,
2728,Set gillnets,
2829,Tanker,
3060,Trawlers,
3077,Tug,
3099,Tug,
3203,Tug,
3243,Tug,
3323,Cargo,
3340,Cargo,
3493,Tug,
3495,Tug,
3604,Tug,
3695,Cargo,
4124,Tug,
4270,Tanker,
4372,Cargo,
4747,Trawlers,
4781,Trawlers,
4910,Seismic vessel,
5004,Trawlers,
5092,Set gillnets,
5381,Tug,
5440,Trawlers,
5608,Trawlers,
5668,Trawlers,
5708,Trawlers,
5853,Tug,
5918,Trawlers,
6666,Tug,
7584,Sailing,
8888,Reefer,
9404,Tug,
9999,Sailing,
10615,Sailing,
11111,Tug,
12048,Pilot,
12063,Pilot,
12069,Pilot,
14872,Sailing,
14928,Sailing,
15168,Reefer,
16261,Sailing,
18661,Trawlers,
18808,Trawlers,
18817,Trawlers,
18918,Tanker,
18927,Tug,
19599,Sailing,
19687,Trawlers,
19950,Sailing,
20215,Tanker,
20237,Sailing,
20467,Tanker,
20643,Trawlers,
20730,Set longlines,
21720,Cargo,
22333,Trawlers,
24156,Pilot,
25319,Cargo,
28825,Tug,
36416,Set longlines,
41330,Cargo,
44591,Seismic vessel,
50185,Tug,
51403,Tug,
61238,Set gillnets,
72411,Seismic vessel,
80337,Sailing,
80656,Pilot,
81740,Trawlers,
82099,Trawlers,
83265,Seismic vessel,
88243,Sailing,
88888,Pots and traps,
99999,Trawlers,
100000,Cargo,
104938,Cargo,
111111,Cargo,
111222,Pilot,
123456,Purse seines,
123470,Cargo,
123482,Set longlines,
123484,Reefer,
123514,Cargo,
134508,Tug,
175874,Sailing,
195566,Sailing,
196672,Sailing,
254714,Set longlines,
262144,Trawlers,
270840,Cargo,
290907,Tug,
349996,Trawlers,
352541,Tug,
393221,Drifting longlines,
422657,Trawlers,
439541,Sailing,
458754,Cargo,
507640,Tug,
515853,Tug,
558549,Tug,
565026,Tug,
570920,Seismic vessel,
576145,Pots and traps,
578995,Pots and traps,
590647,Pilot,
598734,Tug,
606574,Sailing,
607767,Tug,
641114,Trawlers,
651443,Tug,
654321,Purse seines,
670389,Set gillnets,
753767,Cargo,
773000,Purse seines,
786434,Cargo,
801166,Trawlers,
888888,Reefer,
957653,Tug,
987654,Purse seines,
1037692,Pots and traps,
1048576,Sailing,
1050406,Reefer,
1056261,Purse seines,
1062383,Tug,
1092094,Cargo,
1100000,Purse seines,
1113563,Tug,
1156280,Sailing,
1165107,Tug,
1190998,Trawlers,
1193046,Purse seines,
1224570,Tug,
1239468,Tug,
1299416,Set longlines,
1326630,Tug,
1329614,Set gillnets,
1506502,Cargo,
1596980,Cargo,
1822875,Set gillnets,
1998195,Sailing,
2012586,Sailing,
2040309,Cargo,
2052573,Cargo,
2070910,Cargo,
2095943,Cargo,
2124270,Tanker,
2187119,Tanker,
2190062,Purse seines,
2253026,Cargo,
2320354,Cargo,
2324418,Cargo,
2327460,Cargo,
2338848,Cargo,
2350169,Trawlers,
2447004,Sailing,
2460233,Trawlers,
2545060,Cargo,
2576009,Trawlers,
2645612,Tanker,
2697306,Tug,
2741384,Trawlers,
2817557,Sailing,
2847217,Cargo,
3003495,Cargo,
3080194,Tanker,
3109361,Tanker,
3145196,Tanker,
3160162,Tanker,
3290160,Set longlines,
3296010,Trawlers,
3331388,Tug,
3452284,Sailing,
3594021,Cargo,
3652950,Pots and traps,
3660501,Tanker,
3662121,Trawlers,
3694437,Cargo,
3759834,Tug,
3865308,Purse seines,
4089950,Cargo,
4128770,Sailing,
4140902,Sailing,
4163400,Pots and traps,
4192206,Trawlers,
4304809,Tanker,
4413240,Trawlers,
4520615,Sailing,
4664000,Seismic vessel,
4740545,Cargo,
4804740,Sailing,
4808700,Tanker,
4906551,Trawlers,
5120004,Trawlers,
5251537,Purse seines,
5257752,Trawlers,
5300142,Tug,
5304430,Cargo,
5456879,Sailing,
5458462,Cargo,
5472590,Cargo,
5660550,Cargo,
6001355,Cargo,
6003737,Pots and traps,
6028097,Trawlers,
6606020,Trawlers,
6645040,Tug,
7001288,Trawlers,
7037143,Trawlers,
7250298,Trawlers,
7250370,Sailing,
7251490,Tug,
7303834,Tanker,
7395039,Cargo,
7470044,Pole and line,
7568952,Sailing,
7620705,Tug,
7732054,Tanker,
7754962,Pots and traps,
7853036,Cargo,
7864322,Cargo,
8072781,Purse seines,
8073718,Tug,
8104046,Tug,
8203127,Tug,
8322214,Pole and line,
8504703,Sailing,
8585218,Seismic vessel,
8601496,Purse seines,
8640294,Cargo,
8656952,Sailing,
8751754,Pots and traps,
8900658,Tug,
8900660,Tug,
8978434,Sailing,
9004126,Trawlers,
9020361,Trawlers,
9020431,Seismic vessel,
9020539,Purse seines,
9020670,Trawlers,
9020689,Pole and line,
9020997,Reefer,
9020998,Squid,
9021513,Seismic vessel,
9021791,Pole and line,
9021930,Set longlines,
9022213,Set gillnets,
9022445,Purse seines,
9022520,Reefer,
9081598,Purse seines,
9103111,Reefer,
9103472,Drifting longlines,
9103758,Tug,
9108876,Cargo,
9134634,Reefer,
9151672,Sailing,
9152727,Trawlers,
9167378,Cargo,
9366689,Tug,
9366691,Tug,
9512291,Purse seines,
9699330,Cargo,
9819697,Tanker,
9999999,Trawlers,
10101010,Tug,
10421670,Purse seines,Purse seines
10500794,Tug,
11064272,Trawlers,
11111111,Sailing,
11572680,Sailing,
11862816,Cargo,
11982595,Cargo,
12259361,Tanker,
12345678,Purse seines,
12430662,Cargo,
12506184,Cargo,
12516257,Squid,
12899869,Cargo,
13237745,Tanker,
13273430,Tanker,
13449075,Tanker,
13585417,Trawlers,
13633757,Sailing,
13872729,Tanker,
14269159,Tanker,
14385696,Cargo,
14968098,Pilot,
15343000,Reefer,
15652184,Tanker,
16277172,Set gillnets,
16449538,Cargo,
16484074,Cargo,
17140534,Sailing,
17739082,Tug,
17850344,Cargo,
18001827,Cargo,
18087938,Cargo,
18263641,Tanker,
18976437,Squid,
18976452,Squid,
18976479,Squid,
19021070,Tanker,
19154768,Reefer,
19985372,Tanker,
20003318,Sailing,
20049699,Tug,
20080315,Sailing,
20100409,Pilot,
20100476,Set longlines,
20121968,Tanker,
20249951,Tug,
20315318,Cargo,
20528589,Cargo,
20537299,Sailing,
20692006,Cargo,
20734800,Squid,
20943400,Trawlers,
20978100,Trawlers,
21006800,Tanker,
21048000,Tanker,
21111111,Tanker,
21117650,Cargo,
21148930,Tanker,
21150710,Tanker,
21151900,Tanker,
21233666,Cargo,
21289000,Trawlers,
21440330,Tanker,
21481620,Seismic vessel,
21526690,Tanker,
21535557,Cargo,
21900224,Trawlers,
21999456,Cargo,
22303714,Pots and traps,
22392505,Purse seines,
22806530,Sailing,
23009000,Pots and traps,
23093936,Tug,
23501590,Tug,
23700000,Sailing,
23712644,Tanker,
23788811,Pots and traps,
23854477,Cargo,
24070619,Sailing,
24254001,Trawlers,
24401644,Tanker,
24412345,Tanker,
24417800,Cargo,
24465003,Set longlines,
24465607,Cargo,
24466031,Tanker,Tanker
24466053,Cargo,
24466096,Cargo,
24467375,Reefer,
24469044,Cargo,
24473087,Pots and traps,
24611700,Set longlines,
24616700,Cargo,
24660592,Sailing,
24802000,Seismic vessel,
24842868,Cargo,
25634906,Tanker,
25766322,Trawlers,
25852310,Trawlers,
25874000,Reefer,
26016450,Purse seines,
26100590,Pilot,
26103770,Set gillnets,
26455181,Cargo,
26701038,Pots and traps,
27055478,Cargo,
27059000,Tanker,
27343260,Tanker,
28719844,Cargo,
28862558,Cargo,
29202465,Cargo,
29349400,Cargo,
29491202,Set gillnets,
29767539,Tanker,
30408706,Pots and traps,
30536000,Cargo,
31294000,Cargo,
31567492,Cargo,
31685693,Sailing,
31859434,Cargo,
32126816,Trawlers,
32207178,Cargo,
32310738,Purse seines,
32706130,Trawlers,
33030146,Cargo,
35275000,Tanker,
35437000,Sailing,
35516535,Purse seines,
35721500,Tanker,
