mmsi,shipname,imo,callsign,shiptype,shiptype_fishing,clav_TUVI,imo_rank,callsign_rank,name_rank,flag_match,date_range_match,clav_date_match,fishing_msg_ratio,clav_DateUpdated,rfmo_name,match_start,match_end,match_score
247121970,EMANUELE PADRE,,IKAB,Purse seiners,1,20142,0,1,1,1,1,1,1,12/16/2014 10:45:52,ICCAT,4/8/2013 19:12:24,12/31/2015 23:59:50,73181.2
235051022,CHRISTINA S,,MEPK,Trawlers,1,8475,0,1,1,1,1,1,1,5/16/2012 17:00:00,ICCAT,1/2/2012 21:59:32,12/31/2015 23:59:50,344586.4
232007650,SHEMARAH II,,MVRR7,Trawlers,1,8412,0,1,1,1,0,1,0.0099990567,1/22/2013 18:00:00,ICCAT,1/19/2012 18:14:43,12/31/2015 23:59:45,12018.55
512000102,OTAKOU,,ZMOK,Multipurpose vessels,1,2865,0,1,0,1,0,1,0.9999712354,12/30/2013 8:00:00,CCSBT,1/1/2012 18:44:03,12/31/2015 23:59:41,74476
503113100,EXODUS,,,Longliners,1,21585,0,0,1,1,0,0,0.9993722536,11/29/2005 8:00:00,CCSBT,11/28/2013 2:18:38,12/31/2015 23:59:34,348.35
503113100,EXODUS,,,Unknown,1,21585,0,0,1,1,0,0,0.9993722536,6/1/2012 0:16:00,IOTC,11/28/2013 2:18:38,12/31/2015 23:59:34,348.35
367192880,REEL WHEELS,,WDD7915,Handliners,1,31623,0,1,1,1,1,1,0.9991669714,10/6/2014 8:39:57,ICCAT,1/2/2012 12:59:03,12/31/2015 23:59:34,233482.4
250036000,SEA SPRAY,,EIMG,Trawlers,1,8559,0,1,1,1,1,1,1,5/13/2015 7:21:18,ICCAT,1/3/2012 16:41:22,12/31/2015 23:59:34,324808.8
273349130,Finval,8314299,UALZ,Trawlers,1,31480,1,0,0,1,0,1,0.9996908332,8/18/2014 8:34:28,ICCAT,1/12/2012 21:28:23,12/31/2015 23:59:34,37042
367684410,OSO MALO,,WDI3045,Recreational fishing vessels,1,38383,0,1,1,1,1,1,,8/12/2015 7:35:21,ICCAT,8/6/2015 18:23:54,12/31/2015 23:59:33,12105.2
667870000,ANGEL NO.9,,9LY2169,Bunkers,0,35563,0,1,1,1,0,1,,5/31/2014 20:06:13,WCPFC,1/3/2012 4:43:19,12/31/2015 23:59:29,98653.2
