mmsi,student_label,student_confidence,pybossa_url
224082260,longliner,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4052
227146300,purse_seine,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4057
227503000,purse_seine,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4059
356567000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4067
357788000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4068
416001900,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4070
416308000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4071
431796000,purse_seine,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4086
432106000,other,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4088
432288000,other,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4089
432321000,other,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4090
432322000,other,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4091
432370000,other,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4092
432395000,other,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4093
432399000,other,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4094
432558000,other,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4095
441032000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4100
576276000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4101
576277000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4102
576507000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4103
577105000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4105
577132000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4106
577169000,reefer,1,http://crowd.globalfishingwatch.org/project/maptests2/task/4107
200000055,other,1,http://crowd.globalfishingwatch.org/project/maptests2/task/417
227101600,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/418
247155210,purse_seine,1,http://crowd.globalfishingwatch.org/project/maptests2/task/423
224055250,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/429
247051730,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/451
265502370,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/456
261008070,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/465
224094160,purse_seine,1,http://crowd.globalfishingwatch.org/project/maptests2/task/468
271072382,purse_seine,1,http://crowd.globalfishingwatch.org/project/maptests2/task/469
247121880,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/471
228282000,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/473
304145000,not_fishing,1,http://crowd.globalfishingwatch.org/project/maptests2/task/490
247143580,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/491
231045000,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/500
412698540,other,1,http://crowd.globalfishingwatch.org/project/maptests2/task/514
431702990,longliner,1,http://crowd.globalfishingwatch.org/project/maptests2/task/522
228258000,trawler,1,http://crowd.globalfishingwatch.org/project/maptests2/task/528
