task id,mmsi,label
2031,244690101,cargo
2572,211512210,cargo
2587,211668930,cargo
2608,244660859,cargo
2609,258222000,cargo
2611,211474520,cargo
2614,419000489,cargo
2618,244180386,cargo
2620,413950139,cargo
2627,244110172,cargo
2632,211517780,cargo
2634,525015295,cargo
2647,211463350,cargo
2654,413900894,cargo
2663,211495040,cargo
2693,211481170,cargo
2698,574767000,cargo
2700,226008970,cargo
2722,244074473,cargo
2732,227789260,cargo
3139,369970763,cargo
2067,338140283,Diving_ops
2068,503638500,Diving_ops
2069,257717800,Diving_ops
2075,470761000,Diving_ops
2076,366614000,Diving_ops
2080,251456110,Diving_ops
2081,503725300,Diving_ops
2086,272138400,Diving_ops
2088,367567190,Diving_ops
2091,257046500,Diving_ops
2092,272118700,Diving_ops
2093,230940470,Diving_ops
2096,309129000,Diving_ops
2099,622121520,Diving_ops
2100,512000771,Diving_ops
2101,503000590,Diving_ops
2102,367545860,Diving_ops
2103,372162000,Diving_ops
2105,367359630,Diving_ops
2106,338078958,Diving_ops
2107,257243800,Diving_ops
2108,236519000,Diving_ops
2109,207829760,Diving_ops
2110,265586780,Diving_ops
2111,423162100,Diving_ops
2112,345070202,Diving_ops
2114,271001129,Diving_ops
2120,377615000,Diving_ops
2122,235031085,Diving_ops
2125,205599000,Diving_ops
2126,235083664,Diving_ops
2129,230940710,Diving_ops
2130,419224000,Diving_ops
2131,257109500,Diving_ops
2132,470988000,Diving_ops
2137,235074917,Diving_ops
2140,232159000,Diving_ops
2143,368242000,Diving_ops
2147,636008162,Diving_ops
2149,710020310,Diving_ops
2153,257150900,Diving_ops
2154,503224900,Diving_ops
2155,230044550,Diving_ops
2157,503538900,Diving_ops
2158,257220040,Diving_ops
2159,235090985,Diving_ops
2160,273353250,Diving_ops
2162,503553900,Diving_ops
2163,235070155,Diving_ops
2166,367548000,Diving_ops
2170,311073300,Diving_ops
2171,235004366,Diving_ops
2172,419227000,Diving_ops
2174,710009840,Diving_ops
2175,367241000,Diving_ops
2181,257791290,Diving_ops
2182,338140284,Diving_ops
2186,219004293,Diving_ops
2187,227274510,Diving_ops
2189,235022608,Diving_ops
2190,235068128,Diving_ops
2191,235023771,Diving_ops
2193,503446300,Diving_ops
2194,306929000,Diving_ops
2203,367377490,Diving_ops
2205,257796500,Diving_ops
2207,775996002,Diving_ops
2209,265590560,Diving_ops
2210,503004920,Diving_ops
2211,235051508,Diving_ops
2213,775996601,Diving_ops
2214,710005590,Diving_ops
2217,277502000,Diving_ops
2218,367081260,Diving_ops
2219,212983020,Diving_ops
2220,775996607,Diving_ops
2221,235062421,Diving_ops
2224,227717090,Diving_ops
2225,345070085,Diving_ops
2231,412375350,Diving_ops
1870,316013161,Dredging_or_underwater_ops
1866,259665000,Dredging_or_underwater_ops
1868,245121000,Dredging_or_underwater_ops
1872,251606110,Dredging_or_underwater_ops
1875,412070090,Dredging_or_underwater_ops
1878,225386000,Dredging_or_underwater_ops
1879,419001009,Dredging_or_underwater_ops
1884,205330790,Dredging_or_underwater_ops
1888,245443000,Dredging_or_underwater_ops
1889,413271150,Dredging_or_underwater_ops
1890,311019800,Dredging_or_underwater_ops
1892,253311000,Dredging_or_underwater_ops
1895,273352310,Dredging_or_underwater_ops
1896,244830652,Dredging_or_underwater_ops
1897,574012796,Dredging_or_underwater_ops
1898,249139000,Dredging_or_underwater_ops
1899,263139000,Dredging_or_underwater_ops
1900,279202325,Dredging_or_underwater_ops
1901,219007363,Dredging_or_underwater_ops
1902,253046000,Dredging_or_underwater_ops
1904,312139000,Dredging_or_underwater_ops
1905,227148000,Dredging_or_underwater_ops
1906,244710850,Dredging_or_underwater_ops
1907,413461110,Dredging_or_underwater_ops
1910,272514000,Dredging_or_underwater_ops
1912,244780536,Dredging_or_underwater_ops
1914,244740925,Dredging_or_underwater_ops
1918,659252000,Dredging_or_underwater_ops
1919,357681000,Dredging_or_underwater_ops
1920,412375790,Dredging_or_underwater_ops
1921,257254500,Dredging_or_underwater_ops
1922,412303160,Dredging_or_underwater_ops
1923,257750600,Dredging_or_underwater_ops
1924,244750450,Dredging_or_underwater_ops
1926,419152000,Dredging_or_underwater_ops
1927,419792000,Dredging_or_underwater_ops
1929,367117140,Dredging_or_underwater_ops
1931,232003506,Dredging_or_underwater_ops
1932,244770799,Dredging_or_underwater_ops
1944,203999358,Dredging_or_underwater_ops
1951,253188000,Dredging_or_underwater_ops
1953,412070420,Dredging_or_underwater_ops
1955,273194000,Dredging_or_underwater_ops
1956,205555000,Dredging_or_underwater_ops
1957,211669090,Dredging_or_underwater_ops
1958,800150305,Dredging_or_underwater_ops
1959,211541710,Dredging_or_underwater_ops
1961,341903000,Dredging_or_underwater_ops
1963,211588490,Dredging_or_underwater_ops
1964,244710911,Dredging_or_underwater_ops
1965,412057020,Dredging_or_underwater_ops
1966,440008790,Dredging_or_underwater_ops
1967,413444670,Dredging_or_underwater_ops
1970,232000790,Dredging_or_underwater_ops
1971,244730483,Dredging_or_underwater_ops
1972,367317850,Dredging_or_underwater_ops
1973,266313000,Dredging_or_underwater_ops
1974,366939140,Dredging_or_underwater_ops
1975,225005960,Dredging_or_underwater_ops
1976,367366670,Dredging_or_underwater_ops
1978,211638060,Dredging_or_underwater_ops
1980,243072102,Dredging_or_underwater_ops
1981,244690016,Dredging_or_underwater_ops
1985,244730286,Dredging_or_underwater_ops
1989,574100164,Dredging_or_underwater_ops
1990,205051000,Dredging_or_underwater_ops
1991,244010568,Dredging_or_underwater_ops
1997,367500770,Dredging_or_underwater_ops
2000,205146000,Dredging_or_underwater_ops
2001,235084947,Dredging_or_underwater_ops
2004,228344700,Dredging_or_underwater_ops
2005,212890000,Dredging_or_underwater_ops
2006,253104000,Dredging_or_underwater_ops
2007,725000255,Dredging_or_underwater_ops
2008,251524000,Dredging_or_underwater_ops
2009,277002000,Dredging_or_underwater_ops
2011,219573000,Dredging_or_underwater_ops
2016,243042515,Dredging_or_underwater_ops
2017,211294420,Dredging_or_underwater_ops
2018,244740092,Dredging_or_underwater_ops
2019,272705000,Dredging_or_underwater_ops
2020,503541000,Dredging_or_underwater_ops
2021,413040010,Dredging_or_underwater_ops
2022,341607000,Dredging_or_underwater_ops
2023,244780537,Dredging_or_underwater_ops
2024,265831000,Dredging_or_underwater_ops
2026,205062000,Dredging_or_underwater_ops
2028,273358970,Dredging_or_underwater_ops
2029,419132000,Dredging_or_underwater_ops
2030,245820000,Dredging_or_underwater_ops
2038,205114000,Dredging_or_underwater_ops
2040,211470570,Dredging_or_underwater_ops
2041,258357000,Dredging_or_underwater_ops
2042,210921000,Dredging_or_underwater_ops
2043,257548800,Dredging_or_underwater_ops
2046,303117000,Dredging_or_underwater_ops
2047,419000296,Dredging_or_underwater_ops
2048,219001514,Dredging_or_underwater_ops
2049,316022888,Dredging_or_underwater_ops
2051,574101377,Dredging_or_underwater_ops
2052,219001647,Dredging_or_underwater_ops
2053,367468880,Dredging_or_underwater_ops
2054,244750048,Dredging_or_underwater_ops
2055,249127000,Dredging_or_underwater_ops
2056,211631370,Dredging_or_underwater_ops
2058,257005970,Dredging_or_underwater_ops
2059,367635840,Dredging_or_underwater_ops
2060,253093000,Dredging_or_underwater_ops
2061,244790391,Dredging_or_underwater_ops
2063,412473920,Dredging_or_underwater_ops
2064,211626540,Dredging_or_underwater_ops
2065,243042401,Dredging_or_underwater_ops
2852,111219507,helicopter
2903,111224509,helicopter
2236,265501860,Law_enforcement
2237,413058020,Law_enforcement
2238,331000004,Law_enforcement
2239,413788387,Law_enforcement
2240,503000012,Law_enforcement
2241,413050030,Law_enforcement
2242,266334000,Law_enforcement
2244,265422000,Law_enforcement
2247,412057580,Law_enforcement
2248,259040000,Law_enforcement
2249,659061000,Law_enforcement
2250,413213000,Law_enforcement
2251,563000006,Law_enforcement
2253,265820000,Law_enforcement
2254,316023267,Law_enforcement
2257,275307000,Law_enforcement
2258,503339200,Law_enforcement
2259,211627340,Law_enforcement
2260,275342000,Law_enforcement
2262,412057560,Law_enforcement
2263,211126670,Law_enforcement
2264,413035020,Law_enforcement
2265,367666930,Law_enforcement
2266,412035130,Law_enforcement
2268,211179240,Law_enforcement
2269,211309750,Law_enforcement
2272,211182390,Law_enforcement
2273,244070618,Law_enforcement
2276,367639120,Law_enforcement
2277,412040290,Law_enforcement
2278,367638940,Law_enforcement
2279,205469000,Law_enforcement
2281,265515580,Law_enforcement
2285,211493040,Law_enforcement
2287,235101211,Law_enforcement
2288,503065000,Law_enforcement
2289,265509150,Law_enforcement
2290,412040360,Law_enforcement
2291,412040330,Law_enforcement
2292,413035160,Law_enforcement
2293,503423700,Law_enforcement
2295,412015110,Law_enforcement
2297,413024150,Law_enforcement
2298,701527000,Law_enforcement
2302,246586000,Law_enforcement
2303,413035490,Law_enforcement
2311,275186000,Law_enforcement
2313,419956483,Law_enforcement
2316,205387490,Law_enforcement
2321,257019000,Law_enforcement
2326,237708400,Law_enforcement
2327,362183000,Law_enforcement
2330,211217670,Law_enforcement
2331,218346000,Law_enforcement
2334,338945000,Law_enforcement
2335,413827345,Law_enforcement
2336,244917000,Law_enforcement
2337,413888807,Law_enforcement
2338,211309740,Law_enforcement
2339,265044000,Law_enforcement
2340,516260863,Law_enforcement
2341,440299000,Law_enforcement
2342,413057010,Law_enforcement
2343,377645000,Law_enforcement
2344,412040390,Law_enforcement
2345,412040010,Law_enforcement
2346,413480080,Law_enforcement
2347,265390000,Law_enforcement
2348,412032022,Law_enforcement
2349,369990149,Law_enforcement
2350,503571400,Law_enforcement
2351,277533000,Law_enforcement
2352,244740184,Law_enforcement
2353,413045040,Law_enforcement
2354,264900159,Law_enforcement
2355,367531750,Law_enforcement
2356,412031001,Law_enforcement
2357,273376340,Law_enforcement
2359,265565250,Law_enforcement
2360,413696040,Law_enforcement
2361,413096070,Law_enforcement
2362,601739000,Law_enforcement
2961,265504730,Law_enforcement
2962,244670377,Law_enforcement
2963,211152520,Law_enforcement
2967,413329840,Law_enforcement
2968,440891000,Law_enforcement
2970,211233510,Law_enforcement
2971,245659000,Law_enforcement
2973,412331230,Law_enforcement
2974,246562000,Law_enforcement
2975,211118300,Law_enforcement
2976,244566000,Law_enforcement
2977,246223000,Law_enforcement
2978,316105000,Law_enforcement
2979,235010460,Law_enforcement
2980,413035330,Law_enforcement
2981,211215700,Law_enforcement
2982,246221000,Law_enforcement
2983,412040050,Law_enforcement
2985,276146000,Law_enforcement
2987,316021592,Law_enforcement
2988,413850802,Law_enforcement
2989,440460000,Law_enforcement
2990,440115400,Law_enforcement
2991,548357891,Law_enforcement
2994,412112300,Law_enforcement
2996,701505000,Law_enforcement
2998,413775379,Law_enforcement
2999,412009157,Law_enforcement
3001,367503220,Law_enforcement
3002,265675230,Law_enforcement
3003,244030470,Law_enforcement
3005,246310000,Law_enforcement
3006,440136000,Law_enforcement
3008,730000145,Law_enforcement
3010,265515570,Law_enforcement
3013,265566020,Law_enforcement
3014,244077693,Law_enforcement
3015,253103792,Law_enforcement
3017,412380560,Law_enforcement
3019,412040030,Law_enforcement
3020,503006850,Law_enforcement
3022,265675220,Law_enforcement
3025,367639170,Law_enforcement
3026,367523960,Law_enforcement
3027,701509000,Law_enforcement
3028,412035160,Law_enforcement
3030,207451100,Law_enforcement
3031,413330110,Law_enforcement
3032,265501900,Law_enforcement
3033,265606540,Medical_transport
3034,257294800,Medical_transport
3035,257054000,Medical_transport
3036,367339560,Medical_transport
3037,257910900,Medical_transport
3038,368817000,Medical_transport
3039,257047000,Medical_transport
3040,257028000,Medical_transport
3041,265649230,Medical_transport
3042,367816000,Medical_transport
3043,257029000,Medical_transport
3044,333692587,Medical_transport
3045,257227500,Medical_transport
3047,503314700,Medical_transport
3048,503588900,Medical_transport
3052,211210680,Military_ops
3054,367370000,Military_ops
3055,366999975,Military_ops
3056,775909000,Military_ops
3057,220428000,Military_ops
3058,431999598,Military_ops
3059,770576002,Military_ops
3060,431999553,Military_ops
3061,276700000,Military_ops
3062,265500630,Military_ops
3063,366999613,Military_ops
3064,368881000,Military_ops
3065,367211000,Military_ops
3066,770576005,Military_ops
3067,211210420,Military_ops
3068,261233000,Military_ops
3069,211211840,Military_ops
3070,369970277,Military_ops
3073,367877000,Military_ops
3074,664302000,Military_ops
3075,419090600,Military_ops
3078,303859000,Military_ops
3079,259045000,Military_ops
3080,503115000,Military_ops
3081,367949000,Military_ops
3082,338988000,Military_ops
3083,419059900,Military_ops
3084,211903000,Military_ops
3086,431999697,Military_ops
3088,367279000,Military_ops
3089,431999532,Military_ops
3090,367923000,Military_ops
3091,263020000,Military_ops
3092,366966000,Military_ops
3094,367852000,Military_ops
3095,316009747,Military_ops
3097,265618260,Military_ops
3098,369998000,Military_ops
3099,232697000,Military_ops
3100,369970257,Military_ops
3101,234597000,Military_ops
3102,770576001,Military_ops
3103,230997240,Military_ops
3104,235005245,Military_ops
3106,244911000,Military_ops
3107,419000247,Military_ops
3108,211211240,Military_ops
3109,265591590,Military_ops
3110,671470000,Military_ops
3111,710482000,Military_ops
3112,263015000,Military_ops
3113,245311000,Military_ops
3114,261279000,Military_ops
3115,234084000,Military_ops
3116,369461000,Military_ops
3117,261263000,Military_ops
3118,233063000,Military_ops
3119,316009418,Military_ops
3120,220432000,Military_ops
3121,369930000,Military_ops
3122,316013411,Military_ops
3124,210000,Military_ops
3125,245288000,Military_ops
3126,316200000,Military_ops
3128,211211170,Military_ops
3129,366999770,Military_ops
3131,219000417,Military_ops
3132,266034000,Military_ops
3133,43822180,Military_ops
3134,235067855,Military_ops
3135,228766000,Military_ops
3136,220429000,Military_ops
3137,235067941,Military_ops
3138,211212720,Military_ops
3140,261213000,Military_ops
3141,211210670,Military_ops
3142,664301100,Military_ops
3143,245965000,Military_ops
3145,224139770,Military_ops
3146,470333000,Military_ops
3147,33294408,Military_ops
3148,211927000,Military_ops
3149,367838000,Military_ops
3150,316192000,Military_ops
3151,725000329,Military_ops
3152,366999973,Military_ops
3153,259019000,Military_ops
3154,227800900,Military_ops
3155,211211310,Military_ops
3156,211211190,Military_ops
3157,316160000,Military_ops
3158,205212000,Military_ops
3159,211211160,Military_ops
3160,265501220,Military_ops
3162,261257000,Military_ops
3164,211211320,Military_ops
3165,265602480,Military_ops
3166,525014074,Military_ops
3167,367866000,Military_ops
3168,275411000,Military_ops
3169,512155000,Military_ops
3170,265591580,Military_ops
3171,211211960,Military_ops
3172,263122000,Military_ops
3173,53265489,Military_ops
3174,369953000,Military_ops
3175,367265000,Military_ops
3176,211210480,Military_ops
3177,367951000,Military_ops
3178,261283000,Military_ops
3179,211212400,Military_ops
3180,316136000,Military_ops
3182,211931000,Military_ops
3183,261250000,Military_ops
3184,220189000,Military_ops
3185,265618270,Military_ops
3188,367283000,Military_ops
3190,261298000,Military_ops
3191,366958000,Military_ops
3192,261228000,Military_ops
3193,261217000,Military_ops
3194,232311959,Military_ops
3195,245329000,Military_ops
3196,368771000,Military_ops
3197,627400600,Military_ops
3198,316143000,Military_ops
3200,533168000,Military_ops
3201,316129000,Military_ops
3203,367912000,Military_ops
3204,263047002,Military_ops
3205,265403000,Military_ops
3207,250088000,Military_ops
3208,211211200,Military_ops
3209,211213640,Military_ops
3210,219000416,Military_ops
3211,366997110,Military_ops
3212,657111061,Military_ops
3213,224555000,Military_ops
3215,366999983,Military_ops
3218,235059372,Military_ops
3219,338982000,Military_ops
3220,366999977,Military_ops
3221,367299000,Military_ops
3223,368905000,Military_ops
3224,512156000,Military_ops
3225,230005150,Military_ops
3227,710423000,Military_ops
3229,245321000,Military_ops
3230,211210910,Military_ops
3231,232461600,Military_ops
3232,431999556,Military_ops
3233,461000404,Military_ops
3234,564999000,Military_ops
3236,234586000,Military_ops
3238,431999595,Military_ops
3239,211211820,Military_ops
3240,276742000,Military_ops
3241,366999600,Military_ops
3242,316196000,Military_ops
3243,227800800,Military_ops
3244,316013412,Military_ops
3246,265618280,Military_ops
3247,211913000,Military_ops
3248,368709000,Military_ops
3249,261246000,Military_ops
3250,366954000,Military_ops
2363,211472760,Passenger
2365,244690549,Passenger
2367,518100069,Passenger
2368,413692720,Passenger
2369,244670420,Passenger
2371,211513530,Passenger
2372,413441050,Passenger
2373,338167000,Passenger
2374,413401850,Passenger
2375,247167800,Passenger
2376,525001098,Passenger
2377,211533560,Passenger
2379,211495320,Passenger
2380,244020933,Passenger
2381,247177100,Passenger
2382,366902330,Passenger
2383,265588910,Passenger
2386,211643790,Passenger
2388,203999394,Passenger
2389,412756410,Passenger
2390,227273890,Passenger
2392,235054656,Passenger
2393,525019187,Passenger
2395,265665510,Passenger
2396,265575820,Passenger
2399,211227270,Passenger
2400,235052123,Passenger
2401,227705102,Passenger
2402,271041367,Passenger
2403,211510510,Passenger
2404,271010301,Passenger
2405,240764000,Passenger
2407,243070617,Passenger
2408,775996539,Passenger
2409,367162680,Passenger
2410,244670234,Passenger
2412,211457700,Passenger
2413,477995475,Passenger
2415,431301736,Passenger
2416,251390110,Passenger
2417,367074170,Passenger
2418,211291170,Passenger
2419,244710393,Passenger
2420,244630119,Passenger
2422,211231780,Passenger
2423,413788196,Passenger
2424,203999351,Passenger
2425,413832002,Passenger
2426,230052810,Passenger
2427,227592820,Passenger
2428,271010436,Passenger
2429,244169000,Passenger
2430,273567890,Passenger
2431,366962380,Passenger
2432,211508570,Passenger
2433,237628000,Passenger
2434,265586620,Passenger
2438,525023144,Passenger
2439,247159100,Passenger
2440,309997000,Passenger
2441,367143000,Passenger
2443,265547270,Passenger
2444,209896000,Passenger
2445,525001094,Passenger
2446,271010308,Passenger
2448,271010791,Passenger
2449,224133620,Passenger
2450,440147650,Passenger
2451,367009760,Passenger
2453,211533570,Passenger
2454,338761000,Passenger
2455,717100160,Passenger
2456,440145000,Passenger
2458,247208100,Passenger
2459,413694660,Passenger
2460,247237800,Passenger
2461,243042432,Passenger
2463,367327330,Passenger
2464,264162293,Passenger
2465,884259400,Passenger
2466,440111460,Passenger
2467,265604530,Passenger
2469,237622300,Passenger
2470,251837870,Passenger
2472,224200000,Passenger
2473,224184950,Passenger
2474,366984110,Passenger
2475,255804680,Passenger
2476,470690000,Passenger
2477,309964000,Passenger
2478,269057423,Passenger
2480,338891000,Passenger
2482,309416000,Passenger
2483,205513690,Passenger
2484,366985340,Passenger
2485,258695000,Passenger
2488,244700919,Passenger
2489,367400420,Passenger
2492,367438210,Passenger
2493,244710412,Passenger
2494,525009307,Passenger
2495,211437180,Passenger
2499,257239400,Passenger
2500,230655000,Passenger
2501,258149000,Passenger
2502,247079100,Passenger
2504,239776700,Passenger
2505,235086964,Passenger
2507,211512590,Passenger
2509,232003391,Passenger
2510,529838000,Passenger
2511,259681000,Passenger
2512,431005296,Passenger
2514,230108610,Passenger
2515,224402000,Passenger
2516,277339000,Passenger
2517,240521000,Passenger
2518,316001237,Passenger
2519,316019244,Passenger
2520,211512380,Passenger
2521,44710802,Passenger
2523,219017917,Passenger
2524,211542050,Passenger
2525,525006235,Passenger
2529,219006009,Passenger
2530,227574020,Passenger
2531,273368080,Passenger
2532,355342000,Passenger
2533,367544620,Passenger
2534,413469150,Passenger
2537,211512870,Passenger
2540,431000652,Passenger
2542,413450570,Passenger
2543,211535070,Passenger
2544,211520020,Passenger
2545,235076756,Passenger
2547,540008300,Passenger
2548,525018356,Passenger
2549,413787622,Passenger
2550,249099000,Passenger
2551,219000859,Passenger
2552,232343000,Passenger
2553,230197000,Passenger
2555,269057308,Passenger
2557,244710812,Passenger
2558,247290300,Passenger
2560,211462760,Passenger
1585,366760270,passenger
2710,369638000,passenger
3320,503697300,passenger
3251,367367320,Pleasure_craft
3252,271041023,Pleasure_craft
3253,367304550,Pleasure_craft
3254,367391870,Pleasure_craft
3255,338165885,Pleasure_craft
3256,257661800,Pleasure_craft
3257,367645050,Pleasure_craft
3258,503470200,Pleasure_craft
3259,271041985,Pleasure_craft
3260,377534000,Pleasure_craft
3261,205417510,Pleasure_craft
3262,229891000,Pleasure_craft
3263,567507000,Pleasure_craft
3264,215243000,Pleasure_craft
3265,244810194,Pleasure_craft
3266,538070509,Pleasure_craft
3268,367303760,Pleasure_craft
3271,271017016,Pleasure_craft
3272,303535000,Pleasure_craft
3275,319295000,Pleasure_craft
3276,538070427,Pleasure_craft
3277,271040993,Pleasure_craft
3278,219013226,Pleasure_craft
3279,563014690,Pleasure_craft
3280,319052400,Pleasure_craft
3281,257840870,Pleasure_craft
3282,338147656,Pleasure_craft
3283,319964000,Pleasure_craft
3284,503007460,Pleasure_craft
3285,271041721,Pleasure_craft
3286,207824860,Pleasure_craft
3287,338094686,Pleasure_craft
3288,271044267,Pleasure_craft
3289,265620030,Pleasure_craft
3291,237963600,Pleasure_craft
3292,271042123,Pleasure_craft
3293,235087458,Pleasure_craft
3294,224052990,Pleasure_craft
3296,265751580,Pleasure_craft
3297,538070658,Pleasure_craft
3298,235104118,Pleasure_craft
3299,338168353,Pleasure_craft
3300,338066905,Pleasure_craft
3301,244780978,Pleasure_craft
3302,338129773,Pleasure_craft
3303,271040972,Pleasure_craft
3304,538070339,Pleasure_craft
3305,375119000,Pleasure_craft
3306,353001344,Pleasure_craft
3307,238779140,Pleasure_craft
3308,367414180,Pleasure_craft
3309,219020400,Pleasure_craft
3310,319026600,Pleasure_craft
3311,367409580,Pleasure_craft
3312,219001853,Pleasure_craft
3313,416004839,Pleasure_craft
3314,319634000,Pleasure_craft
3315,367619960,Pleasure_craft
3316,251253440,Pleasure_craft
3319,319061900,Pleasure_craft
3323,265655500,Pleasure_craft
3324,235061569,Pleasure_craft
3325,244770432,Pleasure_craft
3327,211703500,Pleasure_craft
3328,258121590,Pleasure_craft
3329,244740678,Pleasure_craft
