MMSI #,Label,Owner,Vessel Name,Vessel length (m),IMO registration #,Call Sign,2013,2014,2015,2014 Location Log,2015 Location Log,Other Notes,"columns G, H, I are for Listed in Offshore Magazine Vessel Survey?"
209108000,seismic vessel,Dolpin Geophysical,Polar Duchess,106.8,9378216,5BJC3,N,N,Y,"January: Australia, New Zealand
August: South Africa, West Africa","February: Western Europe
April: Northern Europe
August: Western Europe
October: Northern Europe
November: Mediterranean Sea, Western Europe",,
209587000,seismic vessel,Sea Bird Exploration,Hugin Explorer,86,9366005,5BEA2,N,Y,N,"April: North America East Coast
May: Western Europe
December: West Africa","January: South America East Coast
September: South Africa
October: Australia, New Zealand",,
210228000,seismic vessel,Sea Bird Exploration,Munin Explorer,60,8915782,C4XX2,Y,Y,Y,May: Western Europe,"January: South America East Coast, West Africa
August: Gulf of Mexico",,
210582000,seismic vessel,Dolpin Geophysical,Polar Duke,106.8,9378204,5BJL2,N,N,Y,"May: Mediterranean Sea, Western Europe
July: Gulf of Mexico","January: Australia, New Zealand
May: Mediterranean Sea, South Asia, Southeast Asia, Singapore
August: Western Europe
September: Northern Europe",VesselTracker lists length as 104m,
212338000,seismic vessel,Sea Bird Exploration,Kondor Explorer,63.5,8201363,P3LE7,N,Y,N,n/a,n/a,Equasis indicates this vessel has been laid up since August 2010,
226022000,seismic vessel,CGG,CGG Alize,101,9178159,FNDQ,Y,Y,N,"July: North America, West Coast
August: Southeast Asia, Singapore","January-May: Singapore
June: South Africa, Indian Ocean, Java Sea
July: Gulf of Mexico",,
226270000,seismic vessel,CGG,CGG Symphony,121,8607189,C6QB9,Y,Y,N,February: Western Europe,n/a,VesselTracker lists this vessel as scrapped as of fall 2014.,
228030800,seismic vessel,CGG,Oceanic Challenger,90,9194115,FIEZ,Y,Y,N,"January: Western Europe
June-August: Northern Europe
December: Mediterranean Sea, South Asia, UAE","May: Mediterranean Sea, Western Europe
June: Northern Europe, Western Europe",,
228036800,seismic vessel,CGG,Oceanic Phoenix,114,9227754,FIHU,Y,Y,N,"April: Western Europe
May: Northern Europe
September: Northern Europe, Western Europe",n/a,,
228045600,seismic vessel,CGG,Geo Caribbean,101,9401219,FIKI,Y,Y,N,"May: Northern Europe, Western Europe
September: West Africa, Western Europe",May: Western Europe,MMSI number was 259824000 in 2014,
228045800,seismic vessel,CGG,Geo Celtic,101,9376995,FIKK,Y,Y,N,"May: Northern Europe, Western Europe
October: Gulf of Mexico, Western Europe","March: West Africa
April: South Africa
June: South America East Coast
July: Gulf of Mexico",,
