mmsi,imo_count
412468480,1618
0,543
412206510,418
412353970,393
524288,386
413500690,325
412763450,307
413550020,285
413320480,272
412353940,249
412550470,246
123456789,187
413419000,173
413402390,167
524292,165
413500680,164
412501280,163
412435760,138
111111111,118
859032780,116
273000000,112
412419440,104
412419520,100
34087042,100
100000000,98
413371960,95
524296,92
413000000,91
999999999,77
246128000,76
1,69
412000000,66
136348168,60
412435940,59
987654321,58
525000000,57
808664168,53
4403003,53
413353450,52
412206520,52
413358260,48
222222222,48
214709043,47
524300,45
888888888,44
16252928,43
12345678,43
312428000,42
555555555,40
2112603,40
6496386,39
412345678,38
333333333,38
514033000,36
4403004,36
243601064,36
200000000,36
777519104,34
445040000,34
300000000,34
6365,33
8285,33
400000000,33
232002833,32
243601080,32
15692,32
352159000,32
366816340,32
243601032,31
564400000,31
4403007,30
701007048,30
16252932,30
1073741695,30
1073741439,30
352654640,30
243601040,30
243601024,30
636092440,30
413822599,30
370671620,30
3699101,29
500000000,29
413500790,29
352464000,29
413123456,29
4156,28
249901000,28
701000655,28
244645890,28
900000000,28
243601056,28
412370280,28
354502000,28
211513820,27
1193046,27
243601072,27
357937000,27
311255000,26
370621000,26
215299000,26
412353840,26
563022530,26
412356789,26
2734499,26
777777777,25
412123456,25
271000000,25
402655757,25
701000001,25
805830656,24
857984204,24
542638080,24
273319230,24
574123456,24
470124000,24
356288000,24
413801922,24
701095000,23
701812000,23
248417000,23
666000001,23
701007053,23
700000000,23
725017200,23
15693,23
636092442,23
410000000,23
123,23
243601048,22
636014262,22
134218681,22
808466528,22
213910140,22
538000000,22
352654632,22
412888888,22
352654592,22
412550630,21
770576105,21
4,21
123456,21
710000000,21
4157,21
16460,21
369432112,21
636092471,21
371854000,21
312694000,21
538003254,21
302322224,21
302322200,21
201006210,21
701006178,21
503006520,21
666666666,21
701000796,21
440000000,21
4126620,20
234567890,20
470599000,20
477000000,20
2,20
413888888,20
842255564,20
352654608,20
264402008,20
701040000,20
413256789,20
1073741631,20
356654000,19
210046120,19
214709055,19
111000000,19
16461,19
808466536,19
247795392,19
1073733503,19
256184152,19
271111111,19
341311488,19
413781699,19
701006380,19
412045240,19
701034000,19
444444444,19
562373024,19
701006454,18
256184136,18
247795408,18
6364,18
338124561,18
413813582,18
412361450,18
211546890,18
355520000,18
770576231,18
403177472,18
772276224,18
636014263,17
413804795,17
1234567,17
310710936,17
371241000,17
533000000,17
565384000,17
302322176,17
808663857,17
808466504,17
530928981,17
351928000,17
777519108,17
413550070,17
413372740,17
2723675,17
1368194,17
10000000,17
247795448,17
247795424,17
247795440,17
369432064,17
211330370,17
859032772,16
256184128,16
16252936,16
413781898,16
808466544,16
239406680,16
1073733247,16
210046088,16
999000003,16
440003350,16
211130000,16
440002650,16
211543850,16
525123456,16
205484000,16
538003214,16
419000000,16
440495000,16
477013700,16
858403372,16
531977557,16
413810957,16
413806093,16
310710912,16
352654600,16
704643072,16
5,16
354868000,16
269,16
808466480,16
367191170,16
302322216,16
701006289,16
808466512,16
701006216,16
373626456,16
264402010,16
272000000,16
412111111,16
264900108,16
562373040,15
111111000,15
373786000,15
412325920,15
352654648,15
562373032,15
211223780,15
356952000,15
770576232,15
205099000,15
369432080,15
413456789,15
210046080,15
205177000,15
369432096,15
338141018,15
413438410,15
256184176,15
265463000,15
413500810,15
538003281,15
413778724,15
413325210,15
310710952,15
310710968,15
701006407,15
239406672,15
230000000,15
226823568,15
562373016,15
219000479,15
1073741663,15
999000008,14
538002149,14
600000000,14
636091924,14
538004431,14
477170300,14
859032781,14
1073733439,14
1073741823,14
413772625,14
373944000,14
370152000,14
369432120,14
369432104,14
367100870,14
645147000,14
412222222,14
412302780,14
701098000,14
413000001,14
806879236,14
302322232,14
268443741,14
701006153,14
701006101,14
110000000,14
413782008,14
413808948,14
239406712,14
239406704,14
811073536,14
218780000,14
413823342,14
422430000,14
211647710,14
210046104,14
440005800,14
440011470,14
470000000,14
858967244,14
123456000,14
11,14
6,14
999999998,13
201208170,13
302322184,13
538004433,13
226823560,13
205639000,13
470943000,13
352654616,13
352654624,13
538004049,13
367015620,13
308871000,13
566000000,13
413783789,13
211537340,13
701006098,13
701006152,13
253093000,13
636014704,13
701006413,13
218434824,13
243601028,13
538003537,13
1073717119,13
701546000,13
310710944,13
440652000,13
859032812,13
273334900,13
562372992,13
859030732,13
636092137,13
548000000,13
205389826,13
412999999,13
235212304,13
440003460,13
366749490,13
636092329,13
53729860,13
440002310,13
636015609,13
355320000,13
367195440,13
636092393,13
440001590,13
366804992,13
205051000,13
205050000,13
770576196,13
770576078,13
574000000,13
367628660,13
211590700,13
257053600,13
636014524,13
413805114,12
239406688,12
538003793,12
4131403,12
999000016,12
538443776,12
16477,12
205546000,12
538005137,12
306516552,12
205475000,12
636015236,12
369432072,12
304020821,12
67633152,12
1056964223,12
134742018,12
205506390,12
310710920,12
701000799,12
701000872,12
211316340,12
701000797,12
413960085,12
201330748,12
312678000,12
239406664,12
8,12
348127232,12
354634000,12
219299000,12
538003345,12
440004560,12
205474000,12
413769649,12
413783315,12
244711426,12
226823576,12
413769111,12
538090258,12
413438840,12
107374182,12
372027000,12
538003601,12
413782887,12
859033036,12
371702000,12
205280990,12
277100000,12
244620876,12
236201000,12
636014952,12
226823600,12
470096912,12
565722000,12
338124562,12
477196400,12
590597324,12
875180588,12
636091881,12
134416632,12
563000000,12
1073741375,12
412207640,12
248483000,12
701006497,12
226823592,11
16429,11
234567891,11
205351290,11
538004497,11
266310000,11
574111111,11
210046128,11
214709047,11
413304160,11
636092265,11
302322192,11
985195560,11
413800654,11
413654321,11
370430000,11
205360090,11
524528,11
564130000,11
211529600,11
477839000,11
205203390,11
636015272,11
247795400,11
210767932,11
636015592,11
806879232,11
567020000,11
258662000,11
205234000,11
33161218,11
413326010,11
413800000,11
259953000,11
211290180,11
538003089,11
440002170,11
636015637,11
355312000,11
338132992,11
211484674,11
412328990,11
268,11
636092073,11
239406696,11
239406656,11
211227920,11
123456780,11
243601084,11
538005009,11
123000000,11
412378760,11
205057000,11
413567891,11
412378770,11
416123456,11
205127000,11
123123123,11
412379860,11
373168000,11
859032782,11
4405012,11
218434832,11
477423500,11
211375510,11
411111111,11
413782371,11
538003409,11
413808364,11
409611789,11
538003921,11
636091113,11
413808501,11
636014696,11
565000000,11
205386590,11
352870000,11
366999840,11
211189000,11
345000000,11
271000807,11
355518000,11
636014645,11
636013111,11
1073741694,11
710102016,11
245875000,11
211542610,11
701006155,11
636092201,11
524304,11
538002897,11
205647000,11
111100000,11
374865924,11
211549170,11
243601044,11
524308,11
636014681,11
701093000,11
636015528,11
374865920,11
244085000,11
336547328,10
636014212,10
1073741438,10
477095800,10
205200190,10
538003025,10
636092350,10
859032716,10
369432088,10
538003460,10
135070804,10
470096952,10
633677288,10
226823608,10
701006293,10
209016000,10
211542420,10
636091753,10
1073733183,10
841626156,10
356000000,10
58496,10
440012650,10
11111111,10
413593150,10
211263800,10
701006245,10
413806003,10
16252940,10
808466488,10
205450690,10
211292140,10
273343810,10
273338220,10
636015656,10
205337590,10
255805631,10
567000000,10
842329421,10
538002769,10
590595276,10
309826000,10
636015418,10
1073725311,10
205301290,10
247795432,10
1073741407,10
413806162,10
413350080,10
243601052,10
440000900,10
867421388,10
235212288,10
440000241,10
256184184,10
859040972,10
440014000,10
440301100,10
1056964479,10
636092197,10
440002430,10
859032796,10
123456788,10
412000001,10
537206801,10
200804300,10
537395200,10
367047170,10
310710960,10
474291284,10
211474450,10
710000392,10
64099841,10
244630100,10
411566080,10
413804847,10
413304270,10
244616000,10
562373008,10
210046096,10
211171530,10
244780451,10
235073614,10
562373048,10
271000001,10
311297000,10
211266470,10
524548,10
859000012,10
4125,10
727948480,10
16462,10
538004222,10
440123456,10
412000020,10
205356690,10
273555555,10
210046112,10
373000000,10
219004647,10
636091433,10
404783624,10
357422000,10
859016396,10
205621000,10
440004000,10
548753000,10
256184144,10
141615234,10
370671616,10
413111000,10
440005700,10
273000001,10
246836000,10
205501790,10
212105000,10
538090386,10
413779216,10
667949000,10
636015080,10
201326592,10
538004881,10
413953998,10
636091561,10
710000450,10
352241000,10
53598788,10
413075648,10
701006018,10
111111112,10
245618000,10
